1694478364.175354	1	97.4
1694478364.3810403	2	94.5
1694478364.6147132	3	122.0
1694478364.8347144	4	108.0
1694478365.0545096	5	107.0
1694478365.2744956	6	108.0
1694478365.494471	7	100.0
1694478365.714341	8	105.0
1694478365.9346907	9	105.0
1694478366.141137	10	96.0
1694478366.360977	11	97.2
1694478366.594676	12	122.0
1694478366.8142893	13	108.0
1694478367.0211554	14	95.4
1694478367.2411427	15	109.0
1694478367.460965	16	108.0
1694478367.6811328	17	109.0
1694478367.9014938	18	108.0
1694478368.1345232	19	122.0
1694478368.3409474	20	95.5
1694478368.5750456	21	124.0
1694478368.781102	22	95.5
1694478369.001198	23	106.0
1694478369.222393	24	108.0
1694478369.4411702	25	107.0
1694478369.674485	26	122.0
1694478369.8810759	27	95.8
1694478370.1139698	28	120.0
1694478370.3343668	29	106.0
1694478370.554567	30	108.0
1694478370.7611768	31	95.8
1694478370.9945555	32	122.0
1694478371.2611747	33	154.0
1694478371.5210748	34	148.0
1694478371.7877965	35	156.0
1694478372.115417	36	216.0
1694478372.4456396	37	212.0
1694478372.7792232	38	219.0
1694478373.103904	39	213.0
1694478373.4336312	40	208.0
1694478373.7672665	41	221.0
1694478374.0915115	42	213.0
1694478374.4083323	43	206.0
1694478374.7256153	44	206.0
1694478375.0297325	45	193.0
1694478375.3335056	46	192.0
1694478375.6377635	47	193.0
1694478375.941535	48	193.0
1694478376.2457228	49	193.0
1694478376.5989037	50	219.0
1694478376.9161973	51	203.0
1694478377.2336287	52	204.0
1694478377.5380962	53	193.0
1694478377.8489063	54	200.0
1694478378.1753485	55	207.0
1694478378.485864	56	199.0
1694478378.7970772	57	199.0
1694478379.1081612	58	198.0
1694478379.4256787	59	202.0
1694478379.741579	60	203.0
1694478380.059275	61	201.0
1694478380.3791647	62	207.0
1694478380.6961126	63	204.0
1694478381.0072381	64	199.0
1694478381.324315	65	206.0
1694478381.6418433	66	206.0
1694478381.9523392	67	199.0
1694478382.2701619	68	206.0
1694478382.5828478	69	201.0
1694478382.907638	70	210.0
1694478383.2250206	71	203.0
1694478383.548247	72	207.0
1694478383.8652856	73	205.0
1694478384.1924658	74	207.0
1694478384.5160706	75	207.0
1694478384.8344421	76	207.0
1694478385.1442063	77	199.0
1694478385.4714434	78	213.0
1694478385.7954128	79	212.0
1694478386.1181085	80	211.0
1694478386.4295583	81	201.0
1694478386.7627249	82	219.0
1694478391.880816	83	-1
1694478392.0936966	84	101.0
1694478392.3131704	85	109.0
1694478392.5341485	86	108.0
1694478392.7472186	87	102.0
1694478392.9733238	88	107.0
1694478393.1878026	89	103.0
1694478393.3877127	90	88.0
1694478393.5891154	91	89.5
1694478393.8144321	92	108.0
1694478394.027264	93	97.5
1694478394.2343776	94	96.5
1694478394.4542332	95	107.0
1694478394.6737673	96	109.0
1694478394.8936608	97	109.0
1694478395.1173322	98	112.0
1694478395.3336341	99	104.0
1694478395.5545988	100	109.0
1694478395.7738752	101	109.0
1694478395.9937048	102	108.0
1694478396.2135704	103	109.0
1694478396.4337437	104	107.0
1694478396.654359	105	109.0
1694478396.873757	106	109.0
1694478397.0936472	107	110.0
1694478397.3139107	108	97.0
1694478397.5345948	109	105.0
1694478397.754082	110	107.0
1694478397.9751282	111	108.0
1694478398.1938167	112	108.0
1694478398.4138103	113	105.0
1694478398.6346557	114	110.0
1694478398.8543222	115	108.0
1694478399.0678005	116	95.4
1694478399.2738643	117	94.3
1694478399.4739542	118	89.0
1694478399.6738276	119	89.0
1694478399.8803382	120	95.9
1694478400.1009054	121	109.0
1694478400.320811	122	98.5
1694478400.5415714	123	110.0
1694478400.7604892	124	108.0
1694478400.980496	125	105.0
1694478401.2004282	126	109.0
1694478401.4208174	127	105.0
1694478401.6405764	128	109.0
1694478401.8626435	129	107.0
1694478402.2667582	130	285.0
1694478402.547138	131	166.0
1694478402.8132682	132	155.0
1694478403.0875256	133	160.0
1694478403.3538282	134	155.0
1694478403.616108	135	150.0
1694478403.8802247	136	153.0
1694478404.1610312	137	168.0
1694478404.42717	138	153.0
1694478404.6879559	139	150.0
1694478404.9603288	140	162.0
1694478405.2270288	141	152.0
1694478405.4936423	142	154.0
1694478405.7737963	143	164.0
1694478406.0335832	144	149.0
1694478406.3000307	145	155.0
1694478406.5803995	146	168.0
1694478406.8404489	147	148.0
1694478407.1003392	148	149.0
1694478407.360147	149	147.0
1694478407.6338193	150	159.0
1694478407.9001687	151	149.0
1694478408.167298	152	153.0
1694478408.4272876	153	148.0
1694478408.7068975	154	168.0
1694478409.0007772	155	181.0
1694478409.2675261	156	148.0
1694478409.5403328	157	151.0
1694478409.8003435	158	150.0
1694478410.0676093	159	156.0
1694478410.333759	160	155.0
1694478410.6138096	161	169.0
1694478410.8801975	162	150.0
1694478411.1414187	163	149.0
1694478411.421988	164	158.0
1694478411.6803844	165	147.0
1694478411.9472926	166	155.0
1694478412.2204576	167	162.0
1694478412.4806628	168	148.0
1694478412.741573	169	149.0
1694478413.0006835	170	148.0
1694478413.2803075	171	160.0
1694478413.5475297	172	155.0
1694478413.8074486	173	149.0
1694478414.0675952	174	149.0
1694478414.3273191	175	148.0
1694478414.587434	176	149.0
1694478414.8673675	177	169.0
1694478415.1606016	178	175.0
1694478415.4276705	179	148.0
1694478415.687587	180	148.0
1694478415.9693613	181	171.0
1694478416.2268617	182	147.0
1694478416.4937932	183	152.0
1694478416.773689	184	170.0
1694478421.8857582	185	-1
1694478422.1687677	186	170.0
1694478422.4290247	187	147.0
1694478422.6956704	188	151.0
1694478422.975412	189	169.0
